SEED :  1
INIT_TIME :  0
FIN_TIME :  20000
ARRIVE_MIN :  10
ARRIVE_MAX :  20
QUIT_PROB :  20
CPU_MIN :  10
CPU_MAX :  20
DISK1_MIN :  40
DISK1_MAX :  60
DISK2_MIN :  50
DISK2_MAX :  70
1138  Job 80   arrives
1139  Job 16   finishes at Disk 1
1143  Job 50   finishes at CPU
1143  Job 50   finishes
1157  Job 81   arrives
1161  Job 34   finishes at Disk 2
1161  Job 19   finishes at CPU
1168  Job 82   arrives
1176  Job 51   finishes at CPU
1181  Job 83   arrives
1186  Job 52   finishes at CPU
1192  Job 84   arrives
1196  Job 36   finishes at Disk 1
1197  Job 53   finishes at CPU
1204  Job 85   arrives
1214  Job 86   arrives
1216  Job 20   finishes at CPU
1218  Job 15   finishes at Disk 2
1230  Job 87   arrives
1232  Job 22   finishes at CPU
1232  Job 22   finishes
1239  Job 39   finishes at Disk 1
1244  Job 88   arrives
1250  Job 54   finishes at CPU
1254  Job 89   arrives
1266  Job 55   finishes at CPU
1266  Job 90   arrives
1276  Job 91   arrives
1283  Job 56   finishes at CPU
1285  Job 37   finishes at Disk 2
1285  Job 40   finishes at Disk 1
1286  Job 92   arrives
1298  Job 93   arrives
1300  Job 2    finishes at CPU
1300  Job 2    finishes
1310  Job 94   arrives
1319  Job 57   finishes at CPU
1329  Job 95   arrives
1332  Job 7    finishes at CPU
1340  Job 41   finishes at Disk 1
1341  Job 3    finishes at Disk 2
1342  Job 58   finishes at CPU
1346  Job 96   arrives
1357  Job 59   finishes at CPU
1357  Job 59   finishes
1365  Job 97   arrives
1372  Job 60   finishes at CPU
1378  Job 98   arrives
1389  Job 25   finishes at CPU
1389  Job 25   finishes
1396  Job 43   finishes at Disk 1
1397  Job 6    finishes at Disk 2
1397  Job 99   arrives
1407  Job 61   finishes at CPU
1407  Job 100  arrives
1407  Job 61   finishes
1422  Job 101  arrives
1425  Job 62   finishes at CPU
1436  Job 102  arrives
1443  Job 24   finishes at CPU
1443  Job 24   finishes
1446  Job 103  arrives
1450  Job 45   finishes at Disk 1
1456  Job 42   finishes at Disk 2
1462  Job 63   finishes at CPU
1465  Job 104  arrives
1474  Job 13   finishes at CPU
1475  Job 105  arrives
1485  Job 64   finishes at CPU
1492  Job 106  arrives
1496  Job 65   finishes at CPU
1503  Job 107  arrives
1504  Job 46   finishes at Disk 1
1506  Job 26   finishes at CPU
1506  Job 26   finishes
1513  Job 44   finishes at Disk 2
1518  Job 66   finishes at CPU
1521  Job 108  arrives
1531  Job 109  arrives
1536  Job 67   finishes at CPU
1542  Job 110  arrives
1553  Job 29   finishes at CPU
1553  Job 29   finishes
1557  Job 111  arrives
1560  Job 8    finishes at Disk 1
1569  Job 68   finishes at CPU
1570  Job 112  arrives
1580  Job 69   finishes at CPU
1582  Job 17   finishes at Disk 2
1587  Job 113  arrives
1598  Job 28   finishes at CPU
1598  Job 28   finishes
1606  Job 114  arrives
1613  Job 70   finishes at CPU
1617  Job 48   finishes at Disk 1
1620  Job 115  arrives
1627  Job 31   finishes at CPU
1627  Job 31   finishes
1633  Job 116  arrives
1635  Job 47   finishes at Disk 2
1639  Job 71   finishes at CPU
1645  Job 117  arrives
1652  Job 72   finishes at CPU
1661  Job 118  arrives
1665  Job 19   finishes at Disk 1
1666  Job 73   finishes at CPU
1674  Job 119  arrives
1684  Job 120  arrives
1685  Job 30   finishes at CPU
1695  Job 49   finishes at Disk 2
1696  Job 32   finishes at CPU
1698  Job 121  arrives
1707  Job 51   finishes at Disk 1
1707  Job 74   finishes at CPU
1708  Job 122  arrives
1717  Job 75   finishes at CPU
1717  Job 75   finishes
1726  Job 123  arrives
1728  Job 76   finishes at CPU
1737  Job 124  arrives
1741  Job 35   finishes at CPU
1741  Job 35   finishes
1748  Job 21   finishes at Disk 2
1751  Job 125  arrives
1751  Job 77   finishes at CPU
1763  Job 53   finishes at Disk 1
1766  Job 126  arrives
1770  Job 5    finishes at CPU
1781  Job 78   finishes at CPU
1782  Job 127  arrives
1792  Job 128  arrives
1796  Job 79   finishes at CPU
1801  Job 52   finishes at Disk 2
1803  Job 129  arrives
1810  Job 54   finishes at Disk 1
1815  Job 80   finishes at CPU
1817  Job 130  arrives
1827  Job 131  arrives
1833  Job 16   finishes at CPU
1844  Job 132  arrives
1847  Job 81   finishes at CPU
1861  Job 20   finishes at Disk 2
1862  Job 34   finishes at CPU
1863  Job 133  arrives
1864  Job 56   finishes at Disk 1
1873  Job 134  arrives
1878  Job 82   finishes at CPU
1885  Job 135  arrives
1891  Job 83   finishes at CPU
1899  Job 136  arrives
1906  Job 7    finishes at Disk 1
1906  Job 84   finishes at CPU
1910  Job 137  arrives
1915  Job 55   finishes at Disk 2
1925  Job 36   finishes at CPU
1928  Job 138  arrives
1944  Job 85   finishes at CPU
1946  Job 139  arrives
1953  Job 60   finishes at Disk 1
1960  Job 140  arrives
1962  Job 86   finishes at CPU
1978  Job 57   finishes at Disk 2
1978  Job 141  arrives
1981  Job 15   finishes at CPU
1988  Job 142  arrives
1991  Job 87   finishes at CPU
2005  Job 39   finishes at CPU
2006  Job 143  arrives
2009  Job 62   finishes at Disk 1
2022  Job 88   finishes at CPU
2023  Job 144  arrives
2033  Job 145  arrives
2034  Job 58   finishes at Disk 2
2037  Job 89   finishes at CPU
2037  Job 89   finishes
2043  Job 146  arrives
2054  Job 90   finishes at CPU
2057  Job 147  arrives
2060  Job 13   finishes at Disk 1
2067  Job 91   finishes at CPU
2069  Job 148  arrives
2081  Job 37   finishes at CPU
2081  Job 149  arrives
2093  Job 40   finishes at CPU
2093  Job 40   finishes
2095  Job 63   finishes at Disk 2
2095  Job 150  arrives
2108  Job 92   finishes at CPU
2110  Job 151  arrives
2115  Job 66   finishes at Disk 1
2121  Job 93   finishes at CPU
2126  Job 152  arrives
2133  Job 94   finishes at CPU
2137  Job 153  arrives
2144  Job 95   finishes at CPU
2152  Job 154  arrives
2153  Job 64   finishes at Disk 2
2154  Job 41   finishes at CPU
2164  Job 68   finishes at Disk 1
2165  Job 155  arrives
2169  Job 3    finishes at CPU
2180  Job 156  arrives
2187  Job 96   finishes at CPU
2193  Job 157  arrives
2197  Job 97   finishes at CPU
2207  Job 98   finishes at CPU
2208  Job 158  arrives
2219  Job 65   finishes at Disk 2
2219  Job 43   finishes at CPU
2221  Job 159  arrives
2223  Job 69   finishes at Disk 1
2232  Job 160  arrives
2238  Job 6    finishes at CPU
2250  Job 161  arrives
2251  Job 99   finishes at CPU
2263  Job 100  finishes at CPU
2267  Job 162  arrives
2273  Job 71   finishes at Disk 1
2282  Job 101  finishes at CPU
2284  Job 163  arrives
2286  Job 67   finishes at Disk 2
2298  Job 164  arrives
2300  Job 102  finishes at CPU
2313  Job 103  finishes at CPU
2314  Job 165  arrives
2326  Job 166  arrives
2328  Job 45   finishes at CPU
2330  Job 73   finishes at Disk 1
2340  Job 42   finishes at CPU
2341  Job 70   finishes at Disk 2
2341  Job 167  arrives
2359  Job 104  finishes at CPU
2360  Job 168  arrives
2370  Job 105  finishes at CPU
2372  Job 74   finishes at Disk 1
2372  Job 169  arrives
2382  Job 106  finishes at CPU
2382  Job 106  finishes
2384  Job 170  arrives
2392  Job 72   finishes at Disk 2
2396  Job 107  finishes at CPU
2397  Job 171  arrives
2407  Job 46   finishes at CPU
2409  Job 172  arrives
2414  Job 76   finishes at Disk 1
2420  Job 173  arrives
2425  Job 44   finishes at CPU
2430  Job 174  arrives
2440  Job 108  finishes at CPU
2440  Job 108  finishes
2441  Job 175  arrives
2451  Job 109  finishes at CPU
2451  Job 109  finishes
2453  Job 30   finishes at Disk 2
2454  Job 176  arrives
2461  Job 110  finishes at CPU
2470  Job 5    finishes at Disk 1
2471  Job 177  arrives
2475  Job 111  finishes at CPU
2475  Job 111  finishes
2490  Job 178  arrives
2493  Job 8    finishes at CPU
2507  Job 112  finishes at CPU
2509  Job 179  arrives
2521  Job 32   finishes at Disk 2
2522  Job 17   finishes at CPU
2523  Job 180  arrives
2525  Job 78   finishes at Disk 1
2534  Job 113  finishes at CPU
2534  Job 181  arrives
2534  Job 113  finishes
2545  Job 114  finishes at CPU
2547  Job 182  arrives
2560  Job 183  arrives
2562  Job 48   finishes at CPU
2574  Job 77   finishes at Disk 2
2574  Job 80   finishes at Disk 1
2575  Job 115  finishes at CPU
2578  Job 184  arrives
2593  Job 116  finishes at CPU
2595  Job 185  arrives
2604  Job 47   finishes at CPU
2605  Job 186  arrives
2619  Job 117  finishes at CPU
2619  Job 187  arrives
2627  Job 82   finishes at Disk 1
2638  Job 118  finishes at CPU
2638  Job 188  arrives
2640  Job 79   finishes at Disk 2
2651  Job 19   finishes at CPU
2657  Job 189  arrives
2666  Job 119  finishes at CPU
2673  Job 190  arrives
2685  Job 83   finishes at Disk 1
2685  Job 120  finishes at CPU
2685  Job 191  arrives
2694  Job 16   finishes at Disk 2
2701  Job 192  arrives
2703  Job 49   finishes at CPU
2713  Job 193  arrives
2716  Job 121  finishes at CPU
2716  Job 121  finishes
2727  Job 84   finishes at Disk 1
2727  Job 51   finishes at CPU
2730  Job 194  arrives
2742  Job 122  finishes at CPU
2748  Job 195  arrives
2751  Job 81   finishes at Disk 2
2761  Job 123  finishes at CPU
2766  Job 196  arrives
2772  Job 124  finishes at CPU
2773  Job 86   finishes at Disk 1
2778  Job 197  arrives
2791  Job 21   finishes at CPU
2791  Job 198  arrives
2801  Job 199  arrives
2802  Job 125  finishes at CPU
2802  Job 125  finishes
2805  Job 34   finishes at Disk 2
2813  Job 53   finishes at CPU
2816  Job 200  arrives
2821  Job 87   finishes at Disk 1
2824  Job 126  finishes at CPU
2826  Job 201  arrives
2840  Job 127  finishes at CPU
2845  Job 202  arrives
2853  Job 128  finishes at CPU
2855  Job 203  arrives
2865  Job 36   finishes at Disk 2
2867  Job 52   finishes at CPU
2874  Job 204  arrives
2877  Job 129  finishes at CPU
2880  Job 39   finishes at Disk 1
2890  Job 205  arrives
2893  Job 54   finishes at CPU
2904  Job 206  arrives
2910  Job 130  finishes at CPU
2917  Job 207  arrives
2924  Job 131  finishes at CPU
2931  Job 91   finishes at Disk 1
2931  Job 208  arrives
2934  Job 85   finishes at Disk 2
2942  Job 132  finishes at CPU
2950  Job 209  arrives
2957  Job 20   finishes at CPU
2965  Job 210  arrives
2967  Job 133  finishes at CPU
2977  Job 56   finishes at CPU
2977  Job 56   finishes
2982  Job 211  arrives
2983  Job 37   finishes at Disk 1
2987  Job 134  finishes at CPU
2987  Job 134  finishes
2996  Job 212  arrives
2997  Job 15   finishes at Disk 2
3003  Job 135  finishes at CPU
3008  Job 213  arrives
3014  Job 136  finishes at CPU
3026  Job 214  arrives
3026  Job 7    finishes at CPU
3032  Job 93   finishes at Disk 1
3042  Job 137  finishes at CPU
3043  Job 215  arrives
3052  Job 88   finishes at Disk 2
3058  Job 55   finishes at CPU
3059  Job 216  arrives
3068  Job 138  finishes at CPU
3069  Job 217  arrives
3078  Job 94   finishes at Disk 1
3082  Job 218  arrives
3085  Job 139  finishes at CPU
3085  Job 139  finishes
3093  Job 219  arrives
3100  Job 60   finishes at CPU
3109  Job 220  arrives
3112  Job 140  finishes at CPU
3119  Job 90   finishes at Disk 2
3120  Job 221  arrives
3123  Job 57   finishes at CPU
3130  Job 3    finishes at Disk 1
3131  Job 222  arrives
3135  Job 141  finishes at CPU
3145  Job 142  finishes at CPU
3148  Job 223  arrives
3158  Job 143  finishes at CPU
3164  Job 224  arrives
3176  Job 62   finishes at CPU
3179  Job 96   finishes at Disk 1
3179  Job 225  arrives
3181  Job 92   finishes at Disk 2
3189  Job 144  finishes at CPU
3198  Job 226  arrives
3203  Job 145  finishes at CPU
3209  Job 227  arrives
3218  Job 58   finishes at CPU
3219  Job 228  arrives
3229  Job 98   finishes at Disk 1
3232  Job 146  finishes at CPU
3237  Job 229  arrives
3242  Job 95   finishes at Disk 2
3248  Job 147  finishes at CPU
3256  Job 230  arrives
3260  Job 13   finishes at CPU
3270  Job 148  finishes at CPU
3272  Job 231  arrives
3281  Job 6    finishes at Disk 1
3283  Job 149  finishes at CPU
3289  Job 232  arrives
3295  Job 41   finishes at Disk 2
3299  Job 63   finishes at CPU
3308  Job 233  arrives
3316  Job 150  finishes at CPU
3319  Job 234  arrives
3330  Job 151  finishes at CPU
3330  Job 235  arrives
3330  Job 151  finishes
3331  Job 100  finishes at Disk 1
3342  Job 66   finishes at CPU
3349  Job 236  arrives
3355  Job 152  finishes at CPU
3360  Job 97   finishes at Disk 2
3365  Job 237  arrives
3374  Job 153  finishes at CPU
3384  Job 238  arrives
3386  Job 154  finishes at CPU
3390  Job 103  finishes at Disk 1
3399  Job 239  arrives
3400  Job 64   finishes at CPU
3417  Job 68   finishes at CPU
3418  Job 240  arrives
3420  Job 43   finishes at Disk 2
3429  Job 241  arrives
3430  Job 155  finishes at CPU
3431  Job 45   finishes at Disk 1
3444  Job 156  finishes at CPU
3448  Job 242  arrives
3460  Job 243  arrives
3462  Job 157  finishes at CPU
3462  Job 157  finishes
3471  Job 42   finishes at Disk 1
3477  Job 99   finishes at Disk 2
3477  Job 158  finishes at CPU
3478  Job 244  arrives
3490  Job 65   finishes at CPU
3494  Job 245  arrives
3502  Job 159  finishes at CPU
3502  Job 159  finishes
3510  Job 246  arrives
3513  Job 107  finishes at Disk 1
3521  Job 69   finishes at CPU
3527  Job 247  arrives
3536  Job 160  finishes at CPU
3538  Job 248  arrives
3545  Job 101  finishes at Disk 2
3547  Job 161  finishes at CPU
3554  Job 249  arrives
3560  Job 162  finishes at CPU
3567  Job 250  arrives
3570  Job 44   finishes at Disk 1
3574  Job 71   finishes at CPU
3574  Job 71   finishes
3582  Job 251  arrives
3593  Job 163  finishes at CPU
3600  Job 102  finishes at Disk 2
3601  Job 252  arrives
3609  Job 67   finishes at CPU
3616  Job 253  arrives
3625  Job 164  finishes at CPU
3627  Job 8    finishes at Disk 1
3628  Job 254  arrives
3643  Job 255  arrives
3644  Job 165  finishes at CPU
3654  Job 166  finishes at CPU
3655  Job 104  finishes at Disk 2
3661  Job 256  arrives
3673  Job 73   finishes at CPU
3673  Job 73   finishes
3679  Job 257  arrives
3682  Job 17   finishes at Disk 1
3688  Job 70   finishes at CPU
3691  Job 258  arrives
3702  Job 167  finishes at CPU
3705  Job 105  finishes at Disk 2
3710  Job 259  arrives
3715  Job 168  finishes at CPU
3722  Job 48   finishes at Disk 1
3726  Job 260  arrives
3732  Job 74   finishes at CPU
3732  Job 74   finishes
3745  Job 261  arrives
3746  Job 169  finishes at CPU
3757  Job 170  finishes at CPU
3757  Job 170  finishes
3758  Job 46   finishes at Disk 2
3761  Job 262  arrives
3768  Job 72   finishes at CPU
3768  Job 72   finishes
3776  Job 115  finishes at Disk 1
3778  Job 263  arrives
3779  Job 171  finishes at CPU
3797  Job 264  arrives
3797  Job 172  finishes at CPU
3807  Job 76   finishes at CPU
3812  Job 265  arrives
3818  Job 173  finishes at CPU
3822  Job 266  arrives
3824  Job 117  finishes at Disk 1
3825  Job 110  finishes at Disk 2
3830  Job 174  finishes at CPU
3832  Job 267  arrives
3844  Job 175  finishes at CPU
3844  Job 268  arrives
3855  Job 269  arrives
3862  Job 30   finishes at CPU
3868  Job 270  arrives
3875  Job 112  finishes at Disk 2
3875  Job 176  finishes at CPU
3875  Job 176  finishes
3877  Job 118  finishes at Disk 1
3881  Job 271  arrives
3889  Job 5    finishes at CPU
3898  Job 272  arrives
3900  Job 177  finishes at CPU
3911  Job 273  arrives
3919  Job 178  finishes at CPU
3919  Job 178  finishes
3922  Job 274  arrives
3923  Job 120  finishes at Disk 1
3930  Job 179  finishes at CPU
3933  Job 275  arrives
3940  Job 114  finishes at Disk 2
3947  Job 32   finishes at CPU
3950  Job 276  arrives
3962  Job 277  arrives
3964  Job 180  finishes at CPU
3977  Job 49   finishes at Disk 1
3981  Job 278  arrives
3981  Job 78   finishes at CPU
3994  Job 181  finishes at CPU
3996  Job 279  arrives
4004  Job 116  finishes at Disk 2
4009  Job 182  finishes at CPU
4012  Job 280  arrives
4025  Job 281  arrives
4026  Job 51   finishes at Disk 1
4026  Job 183  finishes at CPU
4036  Job 282  arrives
4045  Job 77   finishes at CPU
4046  Job 283  arrives
4057  Job 284  arrives
4058  Job 80   finishes at CPU
4066  Job 47   finishes at Disk 2
4070  Job 285  arrives
4070  Job 184  finishes at CPU
4070  Job 184  finishes
4071  Job 21   finishes at Disk 1
4082  Job 185  finishes at CPU
4083  Job 286  arrives
4099  Job 287  arrives
4100  Job 186  finishes at CPU
4112  Job 288  arrives
4117  Job 187  finishes at CPU
4123  Job 289  arrives
4126  Job 53   finishes at Disk 1
4131  Job 19   finishes at Disk 2
4131  Job 82   finishes at CPU
4135  Job 290  arrives
4146  Job 291  arrives
4150  Job 188  finishes at CPU
4159  Job 292  arrives
4163  Job 79   finishes at CPU
4174  Job 189  finishes at CPU
4175  Job 126  finishes at Disk 1
4177  Job 293  arrives
4185  Job 190  finishes at CPU
4185  Job 190  finishes
4187  Job 294  arrives
4188  Job 119  finishes at Disk 2
4197  Job 83   finishes at CPU
4199  Job 295  arrives
4211  Job 191  finishes at CPU
4216  Job 296  arrives
4218  Job 128  finishes at Disk 1
4221  Job 16   finishes at CPU
4232  Job 297  arrives
4232  Job 192  finishes at CPU
4242  Job 298  arrives
4245  Job 122  finishes at Disk 2
4248  Job 193  finishes at CPU
4256  Job 299  arrives
4259  Job 84   finishes at CPU
4273  Job 194  finishes at CPU
4275  Job 54   finishes at Disk 1
4275  Job 300  arrives
4284  Job 195  finishes at CPU
4292  Job 301  arrives
4302  Job 81   finishes at CPU
4302  Job 81   finishes
4311  Job 123  finishes at Disk 2
4311  Job 302  arrives
4314  Job 196  finishes at CPU
4314  Job 196  finishes
4324  Job 131  finishes at Disk 1
4329  Job 303  arrives
4331  Job 86   finishes at CPU
4348  Job 304  arrives
4349  Job 197  finishes at CPU
4358  Job 305  arrives
4363  Job 198  finishes at CPU
4371  Job 306  arrives
4373  Job 124  finishes at Disk 2
4373  Job 199  finishes at CPU
4381  Job 20   finishes at Disk 1
4382  Job 307  arrives
4387  Job 34   finishes at CPU
4395  Job 308  arrives
4397  Job 200  finishes at CPU
4406  Job 309  arrives
4415  Job 87   finishes at CPU
4418  Job 310  arrives
4423  Job 127  finishes at Disk 2
4426  Job 133  finishes at Disk 1
4429  Job 201  finishes at CPU
4429  Job 201  finishes
4433  Job 311  arrives
4444  Job 202  finishes at CPU
4447  Job 312  arrives
4459  Job 203  finishes at CPU
4459  Job 313  arrives
4469  Job 314  arrives
4470  Job 7    finishes at Disk 1
4473  Job 52   finishes at Disk 2
4475  Job 36   finishes at CPU
4487  Job 204  finishes at CPU
4488  Job 315  arrives
4503  Job 39   finishes at CPU
4505  Job 316  arrives
4518  Job 205  finishes at CPU
4519  Job 317  arrives
4526  Job 137  finishes at Disk 1
4535  Job 318  arrives
4537  Job 129  finishes at Disk 2
4537  Job 206  finishes at CPU
4548  Job 319  arrives
4549  Job 207  finishes at CPU
4560  Job 320  arrives
4560  Job 91   finishes at CPU
4570  Job 138  finishes at Disk 1
4570  Job 208  finishes at CPU
4571  Job 321  arrives
4582  Job 322  arrives
4589  Job 85   finishes at CPU
4589  Job 85   finishes
4600  Job 323  arrives
4601  Job 130  finishes at Disk 2
4604  Job 209  finishes at CPU
4611  Job 324  arrives
4620  Job 210  finishes at CPU
4625  Job 140  finishes at Disk 1
4630  Job 325  arrives
4636  Job 211  finishes at CPU
4636  Job 211  finishes
4646  Job 37   finishes at CPU
4649  Job 326  arrives
4663  Job 212  finishes at CPU
4663  Job 212  finishes
4665  Job 327  arrives
4669  Job 132  finishes at Disk 2
4671  Job 141  finishes at Disk 1
4680  Job 15   finishes at CPU
4682  Job 328  arrives
4692  Job 213  finishes at CPU
4698  Job 329  arrives
4707  Job 214  finishes at CPU
4712  Job 330  arrives
4717  Job 93   finishes at CPU
4723  Job 331  arrives
4728  Job 143  finishes at Disk 1
4734  Job 135  finishes at Disk 2
4734  Job 215  finishes at CPU
4734  Job 332  arrives
4744  Job 88   finishes at CPU
4744  Job 333  arrives
4744  Job 88   finishes
4755  Job 334  arrives
4762  Job 216  finishes at CPU
4762  Job 216  finishes
4769  Job 335  arrives
4777  Job 144  finishes at Disk 1
4781  Job 217  finishes at CPU
4787  Job 136  finishes at Disk 2
4787  Job 336  arrives
4794  Job 94   finishes at CPU
4800  Job 337  arrives
4804  Job 218  finishes at CPU
4816  Job 338  arrives
4816  Job 219  finishes at CPU
4819  Job 58   finishes at Disk 1
4829  Job 220  finishes at CPU
4834  Job 339  arrives
4843  Job 90   finishes at CPU
4848  Job 340  arrives
4854  Job 55   finishes at Disk 2
4857  Job 221  finishes at CPU
4859  Job 341  arrives
4862  Job 146  finishes at Disk 1
4867  Job 3    finishes at CPU
4874  Job 342  arrives
4879  Job 222  finishes at CPU
4892  Job 343  arrives
4892  Job 223  finishes at CPU
4903  Job 148  finishes at Disk 1
4904  Job 60   finishes at Disk 2
4906  Job 344  arrives
4909  Job 224  finishes at CPU
4920  Job 345  arrives
4924  Job 96   finishes at CPU
4924  Job 96   finishes
4932  Job 346  arrives
4941  Job 225  finishes at CPU
4941  Job 225  finishes
4948  Job 347  arrives
4953  Job 92   finishes at CPU
4956  Job 57   finishes at Disk 2
4958  Job 348  arrives
4960  Job 149  finishes at Disk 1
4970  Job 226  finishes at CPU
4971  Job 349  arrives
4986  Job 350  arrives
4987  Job 227  finishes at CPU
4987  Job 227  finishes
4997  Job 228  finishes at CPU
4999  Job 351  arrives
5009  Job 98   finishes at CPU
5009  Job 98   finishes
5010  Job 352  arrives
5014  Job 150  finishes at Disk 1
5022  Job 142  finishes at Disk 2
5023  Job 353  arrives
5026  Job 229  finishes at CPU
5026  Job 229  finishes
5034  Job 354  arrives
5045  Job 95   finishes at CPU
5045  Job 355  arrives
